type,id,time_1avg,fails_1total,visited,repeated,explored
dense,1,10.876683107332306,0.3333333333333333,0.0,0.0,0.0
dense,2,30.045689849999082,1.0,0.0,0.0,0.0
dense,3,30.053907179665355,1.0,0.0,0.0,0.0
dense,4,30.052670059001684,1.0,0.0,0.0,0.0
dense,5,20.190931538332126,0.6666666666666666,0.0,0.0,0.0
dense,6,30.053379738332296,1.0,0.0,0.0,0.0
dense,7,30.055690388666942,1.0,0.0,0.0,0.0
dense,8,15.176637194334035,0.3333333333333333,0.0,0.0,0.0
dense,9,20.145538784333137,0.6666666666666666,0.0,0.0,0.0
dense,10,2.1536209849982697,0.0,0.0,0.0,0.0
sparse,1,6.536592863999734,0.0,0.0,0.0,0.0
sparse,2,28.577856640667353,0.6666666666666666,0.0,0.0,0.0
sparse,3,30.05475675166599,1.0,0.0,0.0,0.0
sparse,4,30.055713920667284,1.0,0.0,0.0,0.0
sparse,5,20.38062136999967,0.6666666666666666,0.0,0.0,0.0
sparse,6,20.104127533332456,0.6666666666666666,0.0,0.0,0.0
sparse,7,30.05247786400044,1.0,0.0,0.0,0.0
sparse,8,10.685705802333056,0.3333333333333333,0.0,0.0,0.0
sparse,9,10.17642603566613,0.3333333333333333,0.0,0.0,0.0
sparse,10,6.130146398667421,0.3333333333333333,0.0,0.0,0.0
