,type,id,class,time_100avg,cost_100avg,fails_100total
mazes/dense/1a,dense,1,a,0.08957119700000002,-62.54,0.0
mazes/dense/1b,dense,1,b,0.09299842599999994,46.06,0.0
mazes/dense/1c,dense,1,c,0.09166102899999991,87.02061855670104,0.03
mazes/dense/2a,dense,2,a,0.09474167000000044,107.16161616161617,0.01
mazes/dense/2b,dense,2,b,0.09266345799999975,101.79569892473118,0.07
mazes/dense/2c,dense,2,c,0.0924570409999999,59.64,0.0
mazes/dense/3a,dense,3,a,0.09745349699999978,58.37,0.0
mazes/dense/3b,dense,3,b,0.08583979800000037,13.46938775510204,0.02
mazes/dense/3c,dense,3,c,0.0968487359999996,-137.0,0.98
mazes/dense/4a,dense,4,a,0.09311875100000065,23.23,0.0
mazes/dense/4b,dense,4,b,0.09321090900000087,-48.08,0.0
mazes/dense/4c,dense,4,c,0.0970830959999995,0.0,1.0
mazes/dense/5a,dense,5,a,0.09539909299999977,-100.22,0.0
mazes/dense/5b,dense,5,b,0.09457122599999977,-111.02,0.0
mazes/dense/5c,dense,5,c,0.09065770900000075,10.3,0.0
mazes/dense/6a,dense,6,a,0.09311034800000073,89.12121212121212,0.01
mazes/dense/6b,dense,6,b,0.09593608800000027,45.6875,0.04
mazes/dense/6c,dense,6,c,0.094232003999999,94.28282828282828,0.01
mazes/dense/7a,dense,7,a,0.09280461900000063,148.06382978723406,0.06
mazes/dense/7b,dense,7,b,0.09513318699999956,-66.36,0.0
mazes/dense/7c,dense,7,c,0.09262882700000119,102.94680851063829,0.06
mazes/dense/8a,dense,8,a,0.09145931100000042,-44.78,0.0
mazes/dense/8b,dense,8,b,0.09235378500000166,-42.78,0.0
mazes/dense/8c,dense,8,c,0.09435597899999976,40.97872340425532,0.06
mazes/dense/9a,dense,9,a,0.09165149899999875,2.443298969072165,0.03
mazes/dense/9b,dense,9,b,0.09544633900000093,78.98924731182795,0.07
mazes/dense/9c,dense,9,c,0.09147393799999919,-16.020408163265305,0.02
mazes/dense/10a,dense,10,a,0.09309612500000071,95.9090909090909,0.01
mazes/dense/10b,dense,10,b,0.09121492499999817,31.12121212121212,0.01
mazes/dense/10c,dense,10,c,0.08433368499999971,66.94680851063829,0.06
mazes/sparse/1a,sparse,1,a,0.08577593099999489,192.1,0.0
mazes/sparse/1b,sparse,1,b,0.09376530800000125,237.71,0.0
mazes/sparse/1c,sparse,1,c,0.09083442699999977,423.0,0.01
mazes/sparse/2a,sparse,2,a,0.09555040299999745,346.0,0.02
mazes/sparse/2b,sparse,2,b,0.09057648100000222,496.8817204301075,0.07
mazes/sparse/2c,sparse,2,c,0.09428135900000142,397.87,0.0
mazes/sparse/3a,sparse,3,a,0.09694475899999987,225.65,0.0
mazes/sparse/3b,sparse,3,b,0.08677019600000335,291.16161616161617,0.01
mazes/sparse/3c,sparse,3,c,0.09726051800000221,183.0,0.99
mazes/sparse/4a,sparse,4,a,0.09397870099999636,430.7878787878788,0.01
mazes/sparse/4b,sparse,4,b,0.0944793570000013,441.86,0.0
mazes/sparse/4c,sparse,4,c,0.09647513900000092,776.0,0.98
mazes/sparse/5a,sparse,5,a,0.09414916300000073,339.68,0.0
mazes/sparse/5b,sparse,5,b,0.09387992600000189,415.01,0.0
mazes/sparse/5c,sparse,5,c,0.09338894299999993,188.98,0.0
mazes/sparse/6a,sparse,6,a,0.09163359899999818,396.38,0.0
mazes/sparse/6b,sparse,6,b,0.09523565700000006,431.1041666666667,0.04
mazes/sparse/6c,sparse,6,c,0.09414564100000178,484.84,0.0
mazes/sparse/7a,sparse,7,a,0.09216353900000343,553.6020408163265,0.02
mazes/sparse/7b,sparse,7,b,0.09452990099999738,354.39,0.0
mazes/sparse/7c,sparse,7,c,0.093644955999996,412.2371134020619,0.03
mazes/sparse/8a,sparse,8,a,0.09097306399999923,221.5,0.0
mazes/sparse/8b,sparse,8,b,0.09416898299999786,357.07070707070704,0.01
mazes/sparse/8c,sparse,8,c,0.09412533399999745,477.01075268817203,0.07
mazes/sparse/9a,sparse,9,a,0.0918157419999983,369.91,0.0
mazes/sparse/9b,sparse,9,b,0.09548081399999432,587.4105263157895,0.05
mazes/sparse/9c,sparse,9,c,0.09110125899999844,239.12121212121212,0.01
mazes/sparse/10a,sparse,10,a,0.09391673000000196,538.0510204081633,0.02
mazes/sparse/10b,sparse,10,b,0.09169155999999588,395.01020408163265,0.02
mazes/sparse/10c,sparse,10,c,0.08431143699999666,376.6875,0.04
